time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
1634236200,2021-10-15 00:00,23.2,73.8,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,6.8,41,NE,1006.0,29.69,0.0,0.0,67,5,25.1,77.2,23.2,73.8,25.1,77.2,16.7,62.1,0,0,0,0,10.0,6.0,8.9,14.4,Andhra Pradesh,Amaravati
1634239800,2021-10-15 01:00,23.0,73.3,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.1,6.6,34,NE,1005.0,29.68,0.0,0.0,67,6,25.0,77.0,23.0,73.3,25.0,77.0,16.5,61.8,0,0,0,0,10.0,6.0,8.6,13.9,Andhra Pradesh,Amaravati
1634243400,2021-10-15 02:00,22.7,72.9,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,6.4,28,NNE,1005.0,29.67,0.0,0.0,67,8,24.9,76.8,22.7,72.9,24.9,76.8,16.4,61.5,0,0,0,0,10.0,6.0,8.4,13.4,Andhra Pradesh,Amaravati
1634247000,2021-10-15 03:00,22.5,72.5,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.8,6.1,22,NNE,1005.0,29.66,0.0,0.0,67,10,24.8,76.6,22.5,72.5,24.8,76.6,16.2,61.2,0,0,0,0,10.0,6.0,8.1,13.0,Andhra Pradesh,Amaravati
1634250600,2021-10-15 04:00,22.3,72.1,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.7,6.0,23,NNE,1005.0,29.68,0.0,0.0,68,10,24.7,76.5,22.3,72.1,24.7,76.5,16.1,61.0,0,0,0,0,10.0,6.0,7.9,12.7,Andhra Pradesh,Amaravati
1634254200,2021-10-15 05:00,22.0,71.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.7,5.9,24,NNE,1006.0,29.7,0.0,0.0,68,10,24.6,76.3,22.0,71.7,24.6,76.3,16.0,60.8,0,0,0,0,10.0,6.0,7.8,12.5,Andhra Pradesh,Amaravati
1634257800,2021-10-15 06:00,21.8,71.2,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.6,5.8,25,NNE,1006.0,29.71,0.0,0.0,69,10,21.8,71.2,21.8,71.2,24.5,76.1,15.9,60.6,0,0,0,0,10.0,6.0,7.6,12.2,Andhra Pradesh,Amaravati
1634261400,2021-10-15 07:00,23.7,74.6,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,6.4,25,NNE,1006.0,29.72,0.0,0.0,65,10,25.8,78.5,23.7,74.6,25.8,78.5,16.5,61.8,0,0,0,0,10.0,6.0,6.9,11.0,Andhra Pradesh,Amaravati
1634265000,2021-10-15 08:00,25.5,78.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.3,7.0,25,NNE,1007.0,29.73,0.0,0.0,60,10,27.2,80.9,25.5,78.0,27.2,80.9,17.2,62.9,0,0,0,0,10.0,6.0,6.1,9.8,Andhra Pradesh,Amaravati
1634268600,2021-10-15 09:00,27.4,81.3,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.7,7.6,25,NNE,1007.0,29.74,0.0,0.0,56,11,28.5,83.3,27.4,81.3,28.5,83.3,17.8,64.0,0,0,0,0,10.0,6.0,5.4,8.6,Andhra Pradesh,Amaravati
1634272200,2021-10-15 10:00,29.5,85.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.1,8.2,32,NNE,1006.0,29.71,0.0,0.0,52,11,31.1,88.0,29.5,85.0,31.1,88.0,18.4,65.1,0,0,0,0,10.0,6.0,5.8,9.4,Andhra Pradesh,Amaravati
1634275800,2021-10-15 11:00,31.5,88.8,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.4,8.8,40,NE,1005.0,29.69,0.0,0.0,48,11,33.7,92.7,31.5,88.8,33.7,92.7,18.9,66.1,0,0,0,0,10.0,6.0,6.3,10.1,Andhra Pradesh,Amaravati
1634279400,2021-10-15 12:00,33.6,92.5,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.8,9.4,48,NE,1004.0,29.66,0.0,0.0,44,11,36.3,97.3,33.6,92.5,36.3,97.3,19.5,67.1,0,0,0,0,10.0,6.0,6.7,10.8,Andhra Pradesh,Amaravati
1634283000,2021-10-15 13:00,33.7,92.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.7,9.2,52,NE,1004.0,29.64,0.0,0.0,43,10,36.4,97.5,33.7,92.7,36.4,97.5,19.4,67.0,0,0,0,0,10.0,6.0,6.6,10.7,Andhra Pradesh,Amaravati
1634286600,2021-10-15 14:00,33.8,92.8,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.7,9.1,56,ENE,1003.0,29.62,0.0,0.0,43,9,36.5,97.7,33.8,92.8,36.5,97.7,19.4,66.9,0,0,0,0,10.0,6.0,6.6,10.6,Andhra Pradesh,Amaravati
